topic,descriptors,sources
44,"['content', 'community', 'comment', 'violates', 'link', 'flag', 'form', 'remove', 'faith', 'rule']",0
194,"['il', 'kenny', 'seanad', 'taoiseach', 'fianna', 'enda', 'gilmore', 'sinn', 'irish', 'martin']",0
199,"['market', 'percent', 'bond', 'profit', 'sale', 'month', 'share', 'analyst', 'company', 'retailer']",2
142,"['movie', 'show', 'star', 'sound', 'piece', 'art', 'directed', 'director', 'version', 'brown']",1
80,"['love', 'character', 'friend', 'thought', 'history', 'later', 'everything', 'knew', 'became', 'mind']",1
129,"['irish', 'programme', 'bailout', 'exit', 'finance', 'credit', 'noonan', 'line', 'imf', 'country']",0
91,"['school', 'college', 'university', 'state', 'student', 'education', 'class', 'teacher', 'district', 'graduate']",2
66,"['company', 'business', 'market', 'stock', 'share', 'trading', 'sell', 'shareholder', 'sale', 'sold']",2
26,"['band', 'album', 'award', 'rock', 'singer', 'record', 'roy', 'musician', 'performance', 'winner']",1
144,"['per', 'cent', 'stewart', 'lion', 'irish', 'chemical', 'figure', 'show', 'bounced', 'rate']",0
